"id","id_photo","hotel_id","orientation","photo_width","photo_height","alt","created_at_photo","created_at"
"3e92c4dd-2b6d-44ff-aa64-f327a2015864","777217389","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a bedroom with a white bed and a backpack at ibis Wien Hauptbahnhof in Vienna","2025-11-14 17:12:07+00","2026-03-13 20:03:48.547753+00"
"ac1b4b21-4aec-4ecb-a5d3-efb81d6e2acd","777217385","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a bedroom with a bed with a surfboard next to it at ibis Wien Hauptbahnhof in Vienna","2025-11-14 17:12:07+00","2026-03-13 20:03:48.548718+00"
"d19dbddf-98b9-478c-8eff-6f1b7a79fca1","757365901","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a room with a white counter and a room with a door at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:25+01","2026-03-13 20:03:48.549816+00"
"5fa01969-6fd9-463d-9829-16262b4e150b","780131460","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a room with a desk and a chair and a window at ibis Wien Hauptbahnhof in Vienna","2025-11-19 18:10:48+00","2026-03-13 20:03:48.550825+00"
"345fb906-cbc1-45a0-8857-4c861e20bc9d","752483552","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",2048,1536,"a hotel room with a bed and a desk and a window at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:12+01","2026-03-13 20:03:48.551757+00"
"d522155a-e53b-4c22-bd30-168c1a0d8ec1","752483554","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",2048,1536,"a bedroom with a bed with a pair of glasses on it at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:13+01","2026-03-13 20:03:48.552806+00"
"bd94284c-add4-4ea3-a3b6-4ce66856d33a","757365909","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a hotel room with a bed and a window at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:26+01","2026-03-13 20:03:48.553778+00"
"a3fcde0d-4a3b-4910-8161-c4b1b1830b72","757365912","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a bedroom with a white bed and a flag at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:26+01","2026-03-13 20:03:48.554698+00"
"771171af-83fa-4a81-85b7-0a5041ff6695","757365919","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a kitchen counter with a buffet with eggs and bread at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:27+01","2026-03-13 20:03:48.555644+00"
"628c8d6b-88fc-4f61-b113-e23a65e7bc26","757365918","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a kitchen with bowls of fruit on a counter at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:27+01","2026-03-13 20:03:48.556576+00"
"838878c6-8d63-47ce-aa01-4d3e0ce83fd1","757365921","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a restaurant with tables and chairs and a painting at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:27+01","2026-03-13 20:03:48.557469+00"
"cd4547b0-baaf-42cf-95d4-0d4b3c80f476","757365925","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a restaurant with tables and chairs and a counter at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:28+01","2026-03-13 20:03:48.558488+00"
"3d38e19e-228d-4841-93ce-73168c34befb","757365924","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a restaurant with red chairs and tables and windows at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:28+01","2026-03-13 20:03:48.559408+00"
"963510cc-ee4b-4062-902c-db00e2f30540","757365923","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a restaurant with red walls and tables and chairs at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:28+01","2026-03-13 20:03:48.560319+00"
"f08aaabe-ea23-461a-b459-b5ce273c5497","757365928","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a restaurant with tables and chairs and windows at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:28+01","2026-03-13 20:03:48.561245+00"
"e59b33e2-c5cb-4f1f-b8de-b107fd2e6c11","752483599","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a ferris wheel in a park with trees at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:19+01","2026-03-13 20:03:48.562185+00"
"128bf9f9-7c62-4ba8-8a4b-4daf18956559","757365933","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a living room with a couch and tables and chairs at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.563098+00"
"2ada726b-c67c-407d-8021-91958bb1a6b4","752483597","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a statue in front of a building at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:19+01","2026-03-13 20:03:48.564027+00"
"0cfc045d-3586-41bb-a82c-d705e2f7ff97","757365935","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a man sitting at a table with a laptop at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.565197+00"
"1fd66efc-cab6-4222-bdab-8f0cc847b5f9","757365937","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a man giving a man a lecture to a woman at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.56635+00"
"e80e2ea8-4ab1-444e-b45e-532510239ac3","752483602","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a sign for a znum flim muller on a street at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:19+01","2026-03-13 20:03:48.567285+00"
"583e30cf-6ab1-496e-8cc1-67817d60d0ce","757365939","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"two men sitting next to each other at a table at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.568212+00"
"0abf14a8-dff8-46b7-8e44-077a1846b476","752483604","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a man in a suit pushing a cart filled with luggage at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:20+01","2026-03-13 20:03:48.569255+00"
"05cf78c7-fb50-494c-b41e-1b6372337353","757365941","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a desk with a cup of coffee and papers at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.570255+00"
"06c781ea-6ceb-4e48-8871-c2d14a6c9e50","757365938","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a dog on a leash looking up at a box at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.571197+00"
"6838aed3-7bdc-4b02-9a2f-2e5fb9c8ad4f","757365940","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a woman sitting at a table eating food with a fork at ibis Wien Hauptbahnhof in Vienna","2025-10-03 00:04:29+01","2026-03-13 20:03:48.572115+00"
"6bcaafa1-e09a-4a3a-9597-3f121e6304db","752483605","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a statue of a man standing next to a group of women at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:20+01","2026-03-13 20:03:48.573009+00"
"12f8223b-7a57-44a4-8c3a-3a34fd56c4ca","752483613","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a sign with the words justlas winter written on it at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:21+01","2026-03-13 20:03:48.57391+00"
"5f93f0cd-0b4e-4201-b5f2-ce08a4f5c176","752483607","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a statue on the side of a building at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:20+01","2026-03-13 20:03:48.574808+00"
"c35c0dbd-f613-4574-b5a0-204af3d256ca","752483615","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a red and white trolley car with people in it at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:21+01","2026-03-13 20:03:48.575694+00"
"c4c82e09-6605-4eef-a181-0464a56ab7fe","752483618","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",3000,2250,"a large white building sitting on top of a large body of water at ibis Wien Hauptbahnhof in Vienna","2025-09-23 16:13:21+01","2026-03-13 20:03:48.576613+00"
"161d546f-afe3-4a5f-aff4-39b00a0c1383","109142950","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",5904,3942,"two flags flying in front of a building at ibis Wien Hauptbahnhof in Vienna","2017-08-05 11:37:11+01","2026-03-13 20:03:48.577543+00"
"8cd68cb0-b394-4b4e-8ba9-dd1c2d80e477","335168208","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",6048,4032,"a building with flags in front of it at ibis Wien Hauptbahnhof in Vienna","2022-01-13 11:33:38+00","2026-03-13 20:03:48.57837+00"
"772754ce-9548-4c5e-8a6f-bb33b5fc96bd","108588944","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",6048,4032,"a tall building with flags in front of it at ibis Wien Hauptbahnhof in Vienna","2017-08-02 18:25:44+01","2026-03-13 20:03:48.579264+00"
"dcd5e8c9-c5c6-4238-af39-ab5086854eee","211132533","047285b7-d61a-4b93-8d5c-4d53a5839333","landscape",6048,4032,"a bathroom with a sink and a toilet and a mirror at ibis Wien Hauptbahnhof in Vienna","2019-07-24 10:45:15+01","2026-03-13 20:03:48.582474+00"
"dbfdc179-12b7-45a3-878a-01eb6dd5d6a8","818510875","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a balcony with a view at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:31+00","2026-03-13 20:06:39.952048+00"
"f2fa0922-137f-4d2e-a328-29c4678b2162","818510891","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a balcony with a view at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:34+00","2026-03-13 20:06:39.953602+00"
"df6e5c10-fc6b-4541-aad6-0890e2d70bd4","816771556","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed with a green pillow at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:32+00","2026-03-13 20:06:39.954929+00"
"71584588-d18e-4c40-afa9-27d44a0f4802","816772367","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with a bed and a balcony at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:17+00","2026-03-13 20:06:39.956306+00"
"8eb01a44-4f4e-4558-bd7e-d864d369e9e2","816772341","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a dining room with two tables and yellow chairs at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:13+00","2026-03-13 20:06:39.957578+00"
"2e623edd-3346-4005-ad39-04be98738cc5","816772322","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with a bed and a desk and a television at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:10+00","2026-03-13 20:06:39.958995+00"
"448a9847-80f6-41c0-bda3-3c8e71fa087b","816772311","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a mirror above a desk with a phone and a chair at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:09+00","2026-03-13 20:06:39.960281+00"
"42852819-379d-43e2-8eab-38f8794fa49e","816771480","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a room with a desk and a bed and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:23+00","2026-03-13 20:06:39.961585+00"
"f3c3ccce-f5ad-4be1-96d9-9472406a8899","816772294","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with a bed and a window at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:07+00","2026-03-13 20:06:39.962899+00"
"a7c1275b-3ee8-484c-9535-a70b85da7ede","816772265","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a mirror above a desk with a phone and a chair at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:04+00","2026-03-13 20:06:39.964531+00"
"693d12ab-3715-4615-9f4b-e50a85d084c1","816771508","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a row of tables and chairs in a restaurant at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:27+00","2026-03-13 20:06:39.965867+00"
"7d4fd22a-362d-44b4-a73d-fb49f1b51e36","816771563","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with a bed and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:32+00","2026-03-13 20:06:39.967106+00"
"91d94edf-249a-4403-984a-2740a1fb4df8","816771532","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bakery with a counter with bread and pastries at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:30+00","2026-03-13 20:06:39.968327+00"
"0f553386-60f3-43cf-9daf-5a3a64e6f2b4","816771538","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a row of blue chairs in a waiting room at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:30+00","2026-03-13 20:06:39.969541+00"
"52efe661-7c2a-4ff6-86d5-3e094fc2ee0b","816771516","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a desk and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:28+00","2026-03-13 20:06:39.970551+00"
"7bc0a350-f285-4c36-b75b-0f593d1ba0fb","818511034","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a balcony with a table and chairs and a city at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:06:01+00","2026-03-13 20:06:39.97153+00"
"3362c4f1-c65e-447d-a282-be36a419339a","816772376","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"two glasses of white wine sitting on a table at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:18+00","2026-03-13 20:06:39.972474+00"
"548f8452-1d54-4bc4-95d2-5c2ada1b67cf","816771466","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a large kitchen with black cabinets and a counter top at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:21+00","2026-03-13 20:06:39.973446+00"
"53ea1def-68bb-48f0-9078-50af1e915744","816771457","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bakery with bread and pastries on a counter at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:19+00","2026-03-13 20:06:39.974413+00"
"c8ceeb1b-3e48-4569-a657-b5a4f1d464a2","816771450","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a table with plates of food and drinks on it at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:04:17+00","2026-03-13 20:06:39.975384+00"
"1212497d-8edd-46aa-bfb7-497db0445e7e","818510902","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a desk and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:35+00","2026-03-13 20:06:39.9763+00"
"c767b2e3-bf2f-4f1f-9132-d3637375ed9f","818540984","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a balcony with a table at Leonardo Hotel Vienna City West in Vienna","2026-02-06 03:13:20+00","2026-03-13 20:06:39.977261+00"
"c07dd0ec-fd30-4385-91a2-ba242d2d44ff","818510745","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a balcony with a table at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:12+00","2026-03-13 20:06:39.978228+00"
"81dd076d-abee-4aa6-9e77-92a1e203c421","818510913","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with two beds and a desk at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:37+00","2026-03-13 20:06:39.97963+00"
"1d0abcf8-a71b-4efa-ab7a-4a58e97416a6","818510945","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"two beds with green pillows in a room at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:42+00","2026-03-13 20:06:39.98093+00"
"7209817c-d123-4cde-9c1e-c50fa0562292","818510920","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a flat screen tv at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:38+00","2026-03-13 20:06:39.981973+00"
"56409080-a538-40b4-8451-0e973d3f5cc5","818510954","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with a bed and a desk and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:44+00","2026-03-13 20:06:39.983053+00"
"372764c0-c682-4a57-a0ea-c3f606d837c8","818511013","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a hotel room with a bed and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:57+00","2026-03-13 20:06:39.984133+00"
"881fdcfd-c28d-4671-915c-3f0f1d9c2988","818510905","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed with a painting on the wall at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:36+00","2026-03-13 20:06:39.985287+00"
"fed955d9-08eb-4d16-834d-19e67c9e4458","818510914","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a laptop computer sitting on top of a table at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:37+00","2026-03-13 20:06:39.986579+00"
"57d7aa3b-61fd-48e8-8447-6dc2e72076b0","818510852","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bathroom with a sink and a shower at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:27+00","2026-03-13 20:06:39.987821+00"
"8e5029f4-97d0-4d57-b6a3-44cb8e579c86","818510880","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a lobby with two orange chairs and a table and a vase at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:32+00","2026-03-13 20:06:39.988936+00"
"e1dfe0fe-3a01-42a5-a09b-9e97f5ea1f54","818510939","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a lobby with a reception counter with vases of flowers at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:41+00","2026-03-13 20:06:39.990055+00"
"4aad9f5d-8a0c-4c1e-ace4-1a1bc8ea9cc5","816772295","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a mirror and a desk at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:07+00","2026-03-13 20:06:39.99121+00"
"c4e589b8-93d2-4240-8b9a-6021c8fe7383","818510957","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a tall white building in a city with a street at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:44+00","2026-03-13 20:06:39.992299+00"
"e65437b8-9d16-412e-b873-754b72efa5bc","818541072","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a desk with a chair and a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-06 03:14:13+00","2026-03-13 20:06:39.993401+00"
"048ac59c-72e0-4fbd-b171-12739c4c5acd","818540881","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bakery with a counter with many different types of food at Leonardo Hotel Vienna City West in Vienna","2026-02-06 03:12:45+00","2026-03-13 20:06:39.994971+00"
"7af247f1-dcc5-490f-803d-e25933a17c23","818540981","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a dining room with tables and chairs and windows at Leonardo Hotel Vienna City West in Vienna","2026-02-06 03:13:20+00","2026-03-13 20:06:39.996364+00"
"45702b09-84fd-4df8-85f0-ef120e2a4e33","825772945","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a bedroom with a bed and a desk with a mirror at Leonardo Hotel Vienna City West in Vienna","2026-02-19 23:26:14+00","2026-03-13 20:06:39.997723+00"
"c1a4426e-22dc-4a34-a4bc-41bc53aca43a","818540983","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a lobby with a bar with blue stools at Leonardo Hotel Vienna City West in Vienna","2026-02-06 03:13:20+00","2026-03-13 20:06:39.999055+00"
"c0580c0e-e5cb-46b5-9249-a8220d3e96ba","818510900","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a view of a city with a bridge over a street at Leonardo Hotel Vienna City West in Vienna","2026-02-06 00:05:35+00","2026-03-13 20:06:40.000428+00"
"bd17b2cc-9172-4fc7-b0fd-79f0c3ffd506","816772314","94f8b4e8-58f4-4b4d-9134-166972c2e57a","landscape",4000,2600,"a restaurant with blue chairs and tables in a room at Leonardo Hotel Vienna City West in Vienna","2026-02-02 20:06:09+00","2026-03-13 20:06:40.00166+00"
"9f94ccc3-2dfa-4c5f-aad3-91dd2b8d9def","507527070","4dad12ee-9291-493e-9e0d-6104cf81990a","portrait",1858,2609,"a large white building with many windows at Hotel IMLAUER Wien in Vienna","2023-11-21 08:20:52+00","2026-03-13 20:26:33.137803+00"
"2d5fed36-ccb4-498e-b78a-8750eaebf3b3","210805132","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3027,2018,"a hotel room with two beds and a desk at Hotel IMLAUER Wien in Vienna","2019-07-22 16:11:40+01","2026-03-13 20:26:33.150378+00"
"d7322433-a74c-46cc-a339-145f2d28e90a","210788088","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",2987,2005,"a sauna with wooden walls and a bench in it at Hotel IMLAUER Wien in Vienna","2019-07-22 14:27:23+01","2026-03-13 20:26:33.152129+00"
"1a6d28c6-8ace-4aec-af64-5dd0c233d76b","210803938","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3027,2018,"a restaurant with tables and chairs and lights at Hotel IMLAUER Wien in Vienna","2019-07-22 16:03:53+01","2026-03-13 20:26:33.153602+00"
"41e3098a-7070-493c-9f53-36d697801cac","507374404","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3302,2202,"a gym with several tread machines in a room at Hotel IMLAUER Wien in Vienna","2023-11-20 16:01:53+00","2026-03-13 20:26:33.155118+00"
"df9e56cc-d791-4c35-9e30-607ea81b510d","210804096","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3027,2018,"a large conference room with a long table and chairs at Hotel IMLAUER Wien in Vienna","2019-07-22 16:04:49+01","2026-03-13 20:26:33.156794+00"
"67b1c310-0c48-4eb4-ad12-fa3c0f1532d9","507376428","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3302,2202,"a hotel room with a bed and a chair at Hotel IMLAUER Wien in Vienna","2023-11-20 16:09:51+00","2026-03-13 20:26:33.158462+00"
"3a291dfe-6362-4bc4-87b8-e5f8aec04b69","507382508","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3200,2133,"a pair of slippers and towels on a couch at Hotel IMLAUER Wien in Vienna","2023-11-20 16:34:27+00","2026-03-13 20:26:33.159782+00"
"238aa0c7-df2e-401b-b922-6443a27369a3","507373011","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3302,2132,"a lobby of a restaurant with a couch and two tables at Hotel IMLAUER Wien in Vienna","2023-11-20 15:56:26+00","2026-03-13 20:26:33.161031+00"
"d3e97109-f504-42bb-a165-89c83c4effeb","210803461","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3027,2018,"a buffet line in a restaurant with food at Hotel IMLAUER Wien in Vienna","2019-07-22 16:01:30+01","2026-03-13 20:26:33.162352+00"
"0f829e75-7bc1-4a7a-8762-03b720af8a27","210803649","4dad12ee-9291-493e-9e0d-6104cf81990a","landscape",3027,2018,"two baskets filled with different types of bread and pastries at Hotel IMLAUER Wien in Vienna","2019-07-22 16:02:29+01","2026-03-13 20:26:33.16368+00"
